--- Relaxation Summary for Main Iteration 5, GA Generation 1 ---
Analysis Date: 2025-10-03 05:52:24

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2485, band: 0)
  2. R (freq: 2.9898, band: 59)
  3. Y (freq: 0.3600, band: 0)
  4. S (freq: 0.5750, band: 0)
  5. Z (freq: 3.0912, band: 59)
  ... and 5 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 66 (66.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           P-1             triclinic          -2.790866                 5          1        71       D1:1.012, R21:-0.087, Cell:(0.403, 0.170, -0.177, -26.001, 25.525, 22.466), SC:1x1x1, PhFactor:False
80           P-1             triclinic          -2.789260                 5          1        94       D1:2.103, R21:0.310, Cell:(-0.090, -0.253, 0.159, -32.358, 12.162, 18.625), SC:2x1x2, PhFactor:True
80           P1              triclinic          -2.786526                 5          1        97       D1:9.859, R21:0.078, Cell:(0.325, -0.158, 0.099, -21.983, 6.115, 20.035), SC:2x2x1, PhFactor:True
40           C2/m            monoclinic         -2.786021                 5          1        48       D1:1.287, R21:-0.274, Cell:(0.168, 0.179, 0.245, 31.756, -26.953, 0.310), SC:1x1x2, PhFactor:True
80           P1              triclinic          -2.784840                 5          1        35       D1:4.908, R21:0.024, Cell:(-0.457, 0.301, -0.027, 23.331, -8.361, 1.080), SC:2x1x2, PhFactor:True
20           Pm              monoclinic         -2.782103                 5          1        98       D1:4.633, R21:0.791, Cell:(-0.070, -0.224, 0.176, 42.174, 20.535, -43.447), SC:1x1x1, PhFactor:True
80           P1              triclinic          -2.781215                 5          1        34       D1:7.409, R21:1.126, Cell:(0.342, 0.308, -0.332, 18.109, 14.033, -26.273), SC:2x1x2, PhFactor:True
40           P-1             triclinic          -2.779286                 5          1        59       D1:4.615, R21:-0.413, Cell:(0.174, 0.381, 0.267, -24.434, 39.817, -12.842), SC:1x1x2, PhFactor:False
20           P-1             triclinic          -2.778881                 5          1        93       D1:9.470, R21:-0.927, Cell:(0.426, -0.230, 0.252, -19.907, -44.141, -25.591), SC:1x1x1, PhFactor:True
40           C2/m            monoclinic         -2.777267                 5          1        43       D1:2.733, R21:-0.695, Cell:(0.324, 0.466, 0.225, 29.589, -14.791, -6.949), SC:2x1x1, PhFactor:True
20           Cm              monoclinic         -2.763750                 5          1        85       D1:4.208, R21:-0.178, Cell:(-0.152, -0.392, 0.210, -23.261, 12.270, 37.509), SC:1x1x1, PhFactor:True
