--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-07-06 17:43:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
2            Fm-3m           cubic              -4.820459                 2      130      D1:56.234, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      57       D1:17.783, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      162      D1:100.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      165      D1:100.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      58       D1:17.783, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      153      D1:100.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      135      D1:56.234, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      127      D1:56.234, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      76       D1:31.623, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      33       D1:10.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      129      D1:56.234, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      131      D1:56.234, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      31       D1:10.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      40       D1:17.783, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      18       D1:10.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      145      D1:100.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      157      D1:100.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      113      D1:56.234, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      151      D1:100.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      52       D1:17.783, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      46       D1:17.783, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000)
8            Fm-3m           cubic              -4.820459                 1      41       D1:17.783, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000)
