Engine,Run ID,Composition,Initial Space Group,Energy (eV/atom),Overall Status,MD Verdict,RMSD Val,RMSD Verdict,Vol Val,Vol Verdict,RDF Val,RDF Verdict,Sym Verdict,Sym Group,Sym List,Completeness Issues
MACE OMAT,optrandom_top_5,LiF,Pm,-11.8712,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_top_4,LiF,Pm,-11.8712,STABLE,STABLE,0.166,PASS,4.7,PASS,0.115,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
MACE MP,optrandom_top_5,LiF,Pm,-11.8712,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
eSEN,optrandom_top_4,LiF,Pm,-11.8712,UNSTABLE,UNSTABLE,0.166,PASS,6.2,FAIL,0.227,FAIL,PASS,Fm-3m,P1 (1); Fm-3m (225),COMPLETE
UMA,optrandom_top_4,LiF,Pm,-11.8712,STABLE,STABLE,0.165,PASS,7.3,FAIL,0.591,PASS,PASS,Fm-3m,P1 (1); Pm (6); Fm-3m (225),COMPLETE
MACE OMAT,optrandom_top_3,LiF,P1,-12.3044,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE MP,optrandom_top_3,LiF,P1,-12.3044,UNSTABLE,UNSTABLE,0.934,PASS,6.5,FAIL,-0.014,FAIL,FAIL,Fm-3m,P1 (1); Cm (8); Fm-3m (225),COMPLETE
MACE OMAT,optrandom_top_2,LiF,Cm,-16.2582,INCOMPLETE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_logs_found
MACE OMAT,optrandom_top_1,LiF,Cm,-18.5661,FAILED_UNSTABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,md_explosion
MACE MP,optrandom_top_1,LiF,Cm,-18.5661,UNSTABLE,UNSTABLE,0.163,PASS,9.2,FAIL,0.344,FAIL,PASS,Fm-3m,P1 (1); Cm (8); Fm-3m (225),COMPLETE
