--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-31 16:56:39

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
8            P6_3mc          hexagonal          -4.826398                 4          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        36       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          2        25       D1:0.250, R21:0.250, Cell:(-0.302, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 2          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        49       D1:1.000, R21:-0.824, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
16           P6_3mc          hexagonal          -4.826398                 3          3        48       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, 0.070, 0.000, 0.000, 3.993), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        12       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 4.484), SC:2x1x1, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 3          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        36       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 5          1        77       D1:1.875, R21:0.452, Cell:(0.104, -0.015, 0.240, 35.904, -43.446, 22.151), SC:1x1x1, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 4          3        31       D1:1.000, R21:0.000, Cell:(0.000, 0.406, 0.000, 0.000, 0.000, 30.926), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        50       D1:1.000, R21:0.000, Cell:(-0.255, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        20       D1:0.531, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        44       D1:1.000, R21:0.000, Cell:(-0.034, -0.463, 0.070, -9.261, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 5          2        20       D1:2.888, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        49       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 3          2        49       D1:0.250, R21:0.000, Cell:(0.297, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
32           P6_3mc          hexagonal          -4.826398                 2          2        50       D1:2.261, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 2          3        14       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.185, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        45       D1:1.000, R21:-0.250, Cell:(-0.165, -0.018, 0.000, 0.000, 0.000, -14.244), SC:1x1x2, PhFactor:False
4            P6_3mc          hexagonal          -4.826398                 1          3        11       D1:5.434, R21:0.781, Cell:(0.204, -0.181, -0.234, 29.081, 7.932, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        18       D1:1.000, R21:0.000, Cell:(0.157, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        33       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        27       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
