--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-26 17:55:57

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
24           P2_1/c          monoclinic         -10.165868                1          3        1        D1:4.000, R21:0.000, Cell:(-0.070, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        49       D1:3.843, R21:0.000, Cell:(-0.070, 0.070, 0.070, 13.678, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        11       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
12           P2_1/c          monoclinic         -10.165868                3          2        35       D1:1.000, R21:0.000, Cell:(0.175, 0.472, 0.130, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                3          3        25       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        1        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        6        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          3        17       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        1        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        42       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        12       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        24       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        47       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                2          3        49       D1:0.250, R21:0.250, Cell:(-0.179, 0.070, 0.008, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        10       D1:0.250, R21:0.823, Cell:(0.000, -0.190, -0.166, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          2        50       D1:0.440, R21:-0.250, Cell:(-0.224, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                4          3        11       D1:0.250, R21:0.000, Cell:(0.000, 0.160, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
12           P2_1/c          monoclinic         -10.165868                3          2        6        D1:1.000, R21:-0.250, Cell:(0.070, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                4          3        27       D1:4.000, R21:-0.250, Cell:(0.000, 0.396, 0.000, 4.067, 0.000, 7.144), SC:1x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                4          2        14       D1:0.250, R21:0.000, Cell:(0.000, 0.396, 0.000, 4.067, 0.000, 7.144), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        16       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.078, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        7        D1:0.250, R21:-1.116, Cell:(0.186, 0.000, -0.158, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                3          2        39       D1:1.000, R21:0.250, Cell:(0.000, 0.070, 0.420, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
